shipment_id,carrier,route,customer_tier,order_value_usd,current_status,gps_age_hours,eta_slip_hours,is_flagged,risk_score,impact_score,reasons
SHP-10117,SwiftHaul,"Los Angeles, CA -> Seattle, WA",Platinum,12589.65,Exception,10.1,45.8,True,91.1,165.4,ETA slipped 45.8 hours from plan; Carrier status: Exception; Severe weather on route: Ice Storm (severity 8.7)
SHP-10134,RapidLine,"Dallas, TX -> Denver, CO",Platinum,23557.49,Exception,14.9,38.2,True,77.4,165.2,No GPS ping in 14.9 hours; ETA slipped 38.2 hours from plan; Carrier status: Exception
SHP-10028,TransGlobal,"Atlanta, GA -> Charlotte, NC",Gold,18087.85,Exception,19.8,21.3,True,92.8,164.3,No GPS ping in 19.8 hours; ETA slipped 21.3 hours from plan; Carrier status: Exception; Severe weather on route: High Wind (severity 8.2)
SHP-10061,CargoNet,"Dallas, TX -> Seattle, WA",Platinum,22780.52,Exception,14.0,28.1,True,71.8,151.5,No GPS ping in 14.0 hours; ETA slipped 28.1 hours from plan; Carrier status: Exception
SHP-10037,SwiftHaul,"Los Angeles, CA -> Columbus, OH",Platinum,24140.77,Delayed,1.1,18.7,True,69.4,149.3,ETA slipped 18.7 hours from plan; Carrier status: Delayed; Severe weather on route: Ice Storm (severity 7.0)
SHP-10110,SwiftHaul,"Atlanta, GA -> Columbus, OH",Gold,8844.71,Exception,21.0,22.8,True,92.3,141.2,No GPS ping in 21.0 hours; ETA slipped 22.8 hours from plan; Carrier status: Exception; Severe weather on route: Ice Storm (severity 7.1)
SHP-10084,TransGlobal,"Memphis, TN -> Columbus, OH",Standard,23527.76,Exception,23.8,30.0,True,82.4,139.3,No GPS ping in 23.8 hours; ETA slipped 30.0 hours from plan; Carrier status: Exception
SHP-10039,SwiftHaul,"Dallas, TX -> Phoenix, AZ",Platinum,21796.82,Delayed,2.0,12.4,True,66.4,138.2,ETA slipped 12.4 hours from plan; Carrier status: Delayed; Severe weather on route: Ice Storm (severity 8.6)
SHP-10093,SwiftHaul,"Los Angeles, CA -> Miami, FL",Standard,17184.2,Exception,10.7,31.2,True,85.6,132.2,ETA slipped 31.2 hours from plan; Carrier status: Exception; Severe weather on route: Ice Storm (severity 7.2)
SHP-10078,CargoNet,"Los Angeles, CA -> Denver, CO",Standard,17703.23,Exception,23.3,27.4,True,78.7,122.6,No GPS ping in 23.3 hours; ETA slipped 27.4 hours from plan; Carrier status: Exception
SHP-10129,FreightCo,"Dallas, TX -> Miami, FL",Standard,19975.29,Delayed,4.2,14.3,True,70.2,112.9,ETA slipped 14.3 hours from plan; Carrier status: Delayed; Severe weather on route: High Wind (severity 9.1)
SHP-10014,FreightCo,"Atlanta, GA -> Phoenix, AZ",Standard,16739.95,Delayed,4.7,16.5,True,72.3,111.0,ETA slipped 16.5 hours from plan; Carrier status: Delayed; Severe weather on route: Ice Storm (severity 8.9)
SHP-10042,TransGlobal,"Dallas, TX -> Charlotte, NC",Standard,23615.86,Delayed,1.3,12.6,True,65.0,110.0,ETA slipped 12.6 hours from plan; Carrier status: Delayed; Severe weather on route: Snow (severity 8.1)
SHP-10048,FreightCo,"Memphis, TN -> Denver, CO",Standard,13873.11,Delayed,2.6,17.6,True,74.0,108.7,ETA slipped 17.6 hours from plan; Carrier status: Delayed; Severe weather on route: Snow (severity 9.0)
SHP-10133,TransGlobal,"Chicago, IL -> Denver, CO",Platinum,9771.24,Delayed,3.2,11.3,True,62.2,107.9,ETA slipped 11.3 hours from plan; Carrier status: Delayed; Severe weather on route: Heavy Rain (severity 7.7)
SHP-10147,RapidLine,"Dallas, TX -> Charlotte, NC",Standard,4672.85,Exception,15.2,16.9,True,85.2,107.2,No GPS ping in 15.2 hours; ETA slipped 16.9 hours from plan; Carrier status: Exception; Severe weather on route: High Wind (severity 8.8)
SHP-10009,FreightCo,"Chicago, IL -> Denver, CO",Standard,20933.48,Delayed,1.9,12.8,True,65.6,107.0,ETA slipped 12.8 hours from plan; Carrier status: Delayed; Severe weather on route: Heavy Rain (severity 8.2)
SHP-10036,TransGlobal,"Chicago, IL -> Charlotte, NC",Standard,20969.4,Delayed,2.3,12.8,True,64.7,105.6,ETA slipped 12.8 hours from plan; Carrier status: Delayed; Severe weather on route: Ice Storm (severity 7.9)
SHP-10049,FreightCo,"Newark, NJ -> Miami, FL",Standard,16816.33,Exception,8.8,45.2,True,65,99.9,ETA slipped 45.2 hours from plan; Carrier status: Exception
SHP-10079,TransGlobal,"Atlanta, GA -> Denver, CO",Gold,17683.71,Exception,9.9,24.0,True,55.0,96.8,ETA slipped 24.0 hours from plan; Carrier status: Exception
SHP-10046,FreightCo,"Atlanta, GA -> Phoenix, AZ",Standard,13597.34,Delayed,4.2,11.0,True,64.6,94.5,ETA slipped 11.0 hours from plan; Carrier status: Delayed; Severe weather on route: Snow (severity 8.6)
SHP-10062,RapidLine,"Newark, NJ -> Columbus, OH",Standard,671.3,Exception,20.4,29.0,True,78.2,91.2,No GPS ping in 20.4 hours; ETA slipped 29.0 hours from plan; Carrier status: Exception
SHP-10018,CargoNet,"Memphis, TN -> Charlotte, NC",Gold,11165.56,Delayed,1.4,8.4,True,56.8,90.3,ETA slipped 8.4 hours from plan; Carrier status: Delayed; Severe weather on route: Snow (severity 7.1)
SHP-10124,TransGlobal,"Los Angeles, CA -> Denver, CO",Standard,8291.04,Exception,9.8,40.4,True,65,87.1,ETA slipped 40.4 hours from plan; Carrier status: Exception
SHP-10145,SwiftHaul,"Atlanta, GA -> Denver, CO",Standard,17220.69,Exception,10.7,24.9,True,56.1,86.8,ETA slipped 24.9 hours from plan; Carrier status: Exception
SHP-10000,FreightCo,"Chicago, IL -> Denver, CO",Gold,5735.63,Delayed,1.1,11.9,True,59.7,86.5,ETA slipped 11.9 hours from plan; Carrier status: Delayed; Severe weather on route: Heavy Rain (severity 6.6)
