shipment_id,timestamp,lat,lon
SHP-10000,2026-08-29 15:17,33.2796,-89.8929
SHP-10000,2026-08-30 10:00,30.398,-96.0232
SHP-10000,2026-08-31 04:43,39.7483,-89.1012
SHP-10000,2026-08-31 23:26,33.3066,-88.2147
SHP-10000,2026-09-01 18:09,42.1415,-99.87
SHP-10000,2026-09-02 12:52,42.0873,-86.0372
SHP-10001,2026-08-31 03:32,44.5967,-92.4293
SHP-10001,2026-08-31 15:03,38.2806,-83.4119
SHP-10001,2026-09-01 02:34,39.2778,-82.7659
SHP-10001,2026-09-01 14:06,38.6603,-85.9086
SHP-10001,2026-09-02 01:37,30.6874,-95.442
SHP-10001,2026-09-02 13:08,34.3408,-98.4042
SHP-10002,2026-08-31 22:23,31.071,-87.3004
SHP-10002,2026-09-01 00:30,38.0121,-95.1038
SHP-10002,2026-09-01 02:36,36.9339,-94.601
SHP-10002,2026-09-01 04:43,43.8809,-86.2368
SHP-10002,2026-09-01 06:50,33.2942,-93.5143
SHP-10002,2026-09-01 08:57,41.5247,-98.8812
SHP-10003,2026-08-28 19:28,39.6428,-97.1426
SHP-10003,2026-08-29 18:07,32.0945,-85.1002
SHP-10003,2026-08-30 16:45,38.0847,-85.0597
SHP-10003,2026-08-31 15:23,36.4265,-88.3293
SHP-10003,2026-09-01 14:01,35.4299,-80.0535
SHP-10003,2026-09-02 12:39,32.075,-90.1297
SHP-10004,2026-08-30 04:44,44.1365,-86.3943
SHP-10004,2026-08-30 20:37,31.7183,-82.3042
SHP-10004,2026-08-31 12:29,41.2632,-84.628
SHP-10004,2026-09-01 04:22,35.1026,-94.13
SHP-10004,2026-09-01 20:14,32.3724,-99.9351
SHP-10004,2026-09-02 12:07,40.8314,-85.6064
SHP-10005,2026-08-31 09:20,38.0907,-84.4275
SHP-10005,2026-08-31 13:43,37.9553,-99.9886
SHP-10005,2026-08-31 18:05,34.8623,-99.6105
SHP-10005,2026-08-31 22:28,43.9365,-82.4256
SHP-10005,2026-09-01 02:50,42.475,-93.8497
SHP-10005,2026-09-01 07:13,30.8689,-82.4398
SHP-10006,2026-08-29 12:58,37.9151,-87.8681
SHP-10006,2026-08-30 08:19,44.4654,-81.4217
SHP-10006,2026-08-31 03:39,41.329,-86.2026
SHP-10006,2026-08-31 22:59,40.6942,-92.0202
SHP-10006,2026-09-01 18:19,40.0753,-92.5316
SHP-10006,2026-09-02 13:40,43.4942,-90.9703
SHP-10007,2026-08-31 16:51,42.8945,-98.5829
SHP-10007,2026-08-31 19:06,33.5701,-86.6204
SHP-10007,2026-08-31 21:20,33.2136,-97.3538
SHP-10007,2026-08-31 23:35,44.0327,-88.5791
SHP-10007,2026-09-01 01:50,37.0901,-84.3076
SHP-10007,2026-09-01 04:04,42.1125,-96.1918
SHP-10008,2026-08-29 03:04,40.9232,-83.9881
SHP-10008,2026-08-29 21:23,31.639,-96.1682
SHP-10008,2026-08-30 15:42,38.0443,-97.1964
SHP-10008,2026-08-31 10:01,32.7523,-90.7474
SHP-10008,2026-09-01 04:20,43.1173,-98.4923
SHP-10008,2026-09-01 22:39,42.1203,-82.8807
SHP-10009,2026-08-28 16:58,36.0156,-98.8273
SHP-10009,2026-08-29 16:00,35.6846,-80.2938
SHP-10009,2026-08-30 15:02,33.978,-84.3186
SHP-10009,2026-08-31 14:04,36.8251,-91.5399
SHP-10009,2026-09-01 13:06,44.3598,-80.0915
SHP-10009,2026-09-02 12:08,38.3365,-85.6318
SHP-10010,2026-08-29 14:11,44.4117,-98.3978
SHP-10010,2026-08-30 09:10,32.7874,-88.0993
SHP-10010,2026-08-31 04:09,40.1282,-95.2959
SHP-10010,2026-08-31 23:08,31.7983,-82.1943
SHP-10010,2026-09-01 18:07,33.6932,-88.1096
SHP-10010,2026-09-02 13:06,39.2907,-91.6155
SHP-10011,2026-08-29 21:42,34.7427,-84.9627
SHP-10011,2026-08-30 15:15,31.0881,-90.8343
SHP-10011,2026-08-31 08:48,44.9768,-80.0781
SHP-10011,2026-09-01 02:22,31.0989,-95.7369
SHP-10011,2026-09-01 19:55,33.978,-81.3348
SHP-10011,2026-09-02 13:28,43.213,-82.4146
SHP-10012,2026-08-28 15:13,31.5538,-82.4375
SHP-10012,2026-08-29 14:41,33.967,-82.2057
SHP-10012,2026-08-30 14:10,41.1363,-96.891
SHP-10012,2026-08-31 13:38,34.2263,-95.7874
SHP-10012,2026-09-01 13:07,35.1432,-86.2501
SHP-10012,2026-09-02 12:35,42.7937,-89.8918
SHP-10013,2026-09-01 13:39,38.2752,-91.4463
SHP-10013,2026-09-01 13:51,30.145,-98.4951
SHP-10013,2026-09-01 14:03,43.2466,-81.9214
SHP-10013,2026-09-01 14:15,38.1839,-83.3081
SHP-10013,2026-09-01 14:27,38.7376,-97.0381
SHP-10013,2026-09-01 14:39,31.9117,-93.8348
SHP-10014,2026-08-31 04:02,33.5511,-96.75
SHP-10014,2026-08-31 14:41,41.9983,-96.459
SHP-10014,2026-09-01 01:20,36.1844,-96.4128
SHP-10014,2026-09-01 11:59,43.8673,-84.3523
SHP-10014,2026-09-01 22:38,36.1757,-86.6019
SHP-10014,2026-09-02 09:17,41.0259,-95.0367
SHP-10015,2026-08-29 07:36,39.9005,-92.0307
SHP-10015,2026-08-30 04:00,34.179,-98.6116
SHP-10015,2026-08-31 00:23,41.5999,-92.9771
SHP-10015,2026-08-31 20:47,37.6411,-86.4096
SHP-10015,2026-09-01 17:11,42.6549,-93.377
SHP-10015,2026-09-02 13:35,30.414,-82.4592
SHP-10016,2026-09-01 03:35,35.7779,-88.4682
SHP-10016,2026-09-01 09:45,33.8208,-85.8243
SHP-10016,2026-09-01 15:55,30.0254,-81.4885
SHP-10016,2026-09-01 22:06,38.0768,-85.6114
SHP-10016,2026-09-02 04:16,41.1293,-86.5874
SHP-10016,2026-09-02 10:26,35.4633,-98.6005
SHP-10017,2026-08-28 23:35,38.3162,-96.1632
SHP-10017,2026-08-29 15:48,39.9739,-92.4171
SHP-10017,2026-08-30 08:01,41.222,-96.5195
SHP-10017,2026-08-31 00:14,38.5366,-91.8785
SHP-10017,2026-08-31 16:26,42.5059,-93.9225
SHP-10017,2026-09-01 08:39,33.1527,-84.2848
SHP-10018,2026-08-31 17:29,37.7318,-87.3412
SHP-10018,2026-09-01 02:07,35.0278,-83.6315
SHP-10018,2026-09-01 10:45,41.2671,-86.5441
SHP-10018,2026-09-01 19:23,33.3696,-96.0174
SHP-10018,2026-09-02 04:01,30.3664,-95.1031
SHP-10018,2026-09-02 12:39,37.127,-83.0052
SHP-10019,2026-08-30 14:32,41.5507,-97.8683
SHP-10019,2026-08-30 22:43,36.3772,-96.4823
SHP-10019,2026-08-31 06:54,44.3695,-89.6408
SHP-10019,2026-08-31 15:06,30.7533,-95.016
SHP-10019,2026-08-31 23:17,42.725,-90.8708
SHP-10019,2026-09-01 07:28,42.0212,-86.6484
SHP-10020,2026-08-30 03:11,41.1548,-90.5065
SHP-10020,2026-08-30 19:11,33.8879,-95.0552
SHP-10020,2026-08-31 11:12,39.5649,-84.6837
SHP-10020,2026-09-01 03:13,37.8195,-87.465
SHP-10020,2026-09-01 19:14,34.119,-98.4503
SHP-10020,2026-09-02 11:15,34.2859,-94.5657
SHP-10021,2026-08-29 19:22,30.934,-83.3422
SHP-10021,2026-08-30 13:21,35.8422,-84.6041
SHP-10021,2026-08-31 07:19,44.1909,-99.6094
SHP-10021,2026-09-01 01:18,43.2099,-88.4862
SHP-10021,2026-09-01 19:16,37.1547,-81.1452
SHP-10021,2026-09-02 13:14,34.4792,-92.2003
SHP-10022,2026-08-28 23:48,40.1871,-91.9137
SHP-10022,2026-08-29 21:44,32.4757,-90.6522
SHP-10022,2026-08-30 19:39,31.9144,-87.5549
SHP-10022,2026-08-31 17:34,30.4045,-92.1196
SHP-10022,2026-09-01 15:30,38.4659,-99.458
SHP-10022,2026-09-02 13:25,39.6412,-97.286
SHP-10023,2026-08-31 05:35,31.2286,-99.6123
SHP-10023,2026-08-31 16:47,38.0913,-80.0018
SHP-10023,2026-09-01 03:58,35.2494,-86.9971
SHP-10023,2026-09-01 15:10,41.7185,-86.9649
SHP-10023,2026-09-02 02:21,41.3135,-81.0078
SHP-10023,2026-09-02 13:32,32.9904,-99.5924
SHP-10024,2026-08-30 17:21,41.6669,-96.7247
SHP-10024,2026-08-31 06:51,34.6656,-88.4263
SHP-10024,2026-08-31 20:22,43.9333,-88.4841
SHP-10024,2026-09-01 09:52,43.6204,-92.4939
SHP-10024,2026-09-01 23:23,44.1221,-96.0334
SHP-10024,2026-09-02 12:53,38.8815,-83.3886
SHP-10025,2026-08-30 07:40,30.1898,-91.5988
SHP-10025,2026-08-30 22:54,37.353,-91.3295
SHP-10025,2026-08-31 14:09,35.4328,-82.1685
SHP-10025,2026-09-01 05:23,36.8961,-96.9402
SHP-10025,2026-09-01 20:38,32.6421,-89.5651
SHP-10025,2026-09-02 11:52,39.7569,-87.6818
SHP-10026,2026-08-31 12:14,36.9706,-87.7934
SHP-10026,2026-08-31 21:44,35.6848,-99.426
SHP-10026,2026-09-01 07:15,42.7643,-96.3632
SHP-10026,2026-09-01 16:45,33.1818,-84.0434
SHP-10026,2026-09-02 02:16,35.1051,-82.3936
SHP-10026,2026-09-02 11:46,40.5178,-94.4746
SHP-10027,2026-08-30 15:05,41.894,-98.1389
SHP-10027,2026-08-31 00:19,33.3239,-86.1643
SHP-10027,2026-08-31 09:32,34.5931,-88.3689
SHP-10027,2026-08-31 18:45,37.0989,-89.3816
SHP-10027,2026-09-01 03:58,36.3826,-85.0813
SHP-10027,2026-09-01 13:12,34.9619,-85.9429
SHP-10028,2026-08-31 07:42,40.8688,-80.4679
SHP-10028,2026-08-31 14:36,37.8696,-94.34
SHP-10028,2026-08-31 21:29,31.5079,-96.1176
SHP-10028,2026-09-01 04:23,33.4122,-96.4112
SHP-10028,2026-09-01 11:17,30.2122,-89.3173
SHP-10028,2026-09-01 18:10,34.1147,-80.5141
SHP-10029,2026-08-31 10:42,37.1659,-83.5577
SHP-10029,2026-08-31 20:40,36.0106,-98.5184
SHP-10029,2026-09-01 06:39,39.4417,-98.9278
SHP-10029,2026-09-01 16:37,32.238,-88.7432
SHP-10029,2026-09-02 02:36,34.5575,-80.1216
SHP-10029,2026-09-02 12:34,31.7768,-84.7111
SHP-10030,2026-08-31 09:27,31.4885,-84.7453
SHP-10030,2026-08-31 19:22,39.3827,-94.7071
SHP-10030,2026-09-01 05:18,31.2178,-95.2027
SHP-10030,2026-09-01 15:14,38.2799,-96.8693
SHP-10030,2026-09-02 01:10,36.1278,-86.2126
SHP-10030,2026-09-02 11:05,37.0487,-99.3472
SHP-10031,2026-08-29 20:00,36.3771,-89.1088
SHP-10031,2026-08-30 12:52,39.7145,-81.8318
SHP-10031,2026-08-31 05:44,42.3995,-98.5718
SHP-10031,2026-08-31 22:36,32.4888,-93.8478
SHP-10031,2026-09-01 15:28,41.2344,-88.6159
SHP-10031,2026-09-02 08:19,34.3292,-97.5129
SHP-10032,2026-08-30 14:35,30.388,-95.4215
SHP-10032,2026-08-31 04:41,40.1145,-82.7897
SHP-10032,2026-08-31 18:46,38.8068,-99.5851
SHP-10032,2026-09-01 08:52,41.4714,-83.5716
SHP-10032,2026-09-01 22:57,38.6437,-84.7378
SHP-10032,2026-09-02 13:03,32.6279,-89.6207
SHP-10033,2026-08-28 16:58,36.1747,-90.0906
SHP-10033,2026-08-29 16:11,39.9388,-91.991
SHP-10033,2026-08-30 15:25,41.4075,-99.2661
SHP-10033,2026-08-31 14:38,31.3209,-94.952
SHP-10033,2026-09-01 13:52,31.7388,-84.549
SHP-10033,2026-09-02 13:05,42.9737,-83.5015
SHP-10034,2026-08-30 12:13,31.9652,-94.2394
SHP-10034,2026-08-31 02:45,43.2127,-90.3058
SHP-10034,2026-08-31 17:16,30.433,-87.3996
SHP-10034,2026-09-01 07:47,41.9897,-85.8043
SHP-10034,2026-09-01 22:18,34.6613,-99.7265
SHP-10034,2026-09-02 12:49,36.1199,-95.506
SHP-10035,2026-08-28 20:27,37.0833,-90.8643
SHP-10035,2026-08-29 14:14,32.1696,-96.1878
SHP-10035,2026-08-30 08:01,38.9907,-85.0741
SHP-10035,2026-08-31 01:49,32.0476,-98.6038
