shipment_id,carrier,origin,destination,customer_tier,order_value_usd,ship_date,planned_eta,current_eta,current_status,last_gps_timestamp,scenario_tag,notes
SHP-10000,FreightCo,"Chicago, IL","Denver, CO",Gold,5735.63,2026-08-29 15:17,2026-09-01 19:54,2026-09-02 07:48,Delayed,2026-09-02 12:52,weather_delay,Carrier reports weather-related delay on route
SHP-10001,SwiftHaul,"Dallas, TX","Charlotte, NC",Platinum,9622.2,2026-08-31 03:32,2026-09-02 12:10,2026-09-02 12:10,Out for Delivery,2026-09-02 13:08,on_time,
SHP-10002,FreightCo,"Los Angeles, CA","Charlotte, NC",Gold,20885.94,2026-08-31 22:23,2026-09-03 07:42,2026-09-03 07:42,In Transit,2026-09-01 08:57,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10003,FreightCo,"Atlanta, GA","Seattle, WA",Gold,5432.37,2026-08-28 19:28,2026-09-01 12:03,2026-09-01 12:03,Out for Delivery,2026-09-02 12:39,on_time,
SHP-10004,FreightCo,"Dallas, TX","Denver, CO",Gold,17075.93,2026-08-30 04:44,2026-09-01 15:49,2026-09-01 17:35,In Transit,2026-09-02 12:07,minor_delay,
SHP-10005,CargoNet,"Dallas, TX","Miami, FL",Standard,21788.86,2026-08-31 09:20,2026-09-03 11:41,2026-09-03 11:41,In Transit,2026-09-01 07:13,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10006,FreightCo,"Chicago, IL","Denver, CO",Gold,1916.47,2026-08-29 12:58,2026-09-01 22:55,2026-09-01 22:55,Delivered,2026-09-02 13:40,on_time,
SHP-10007,FreightCo,"Atlanta, GA","Columbus, OH",Standard,5906.85,2026-08-31 16:51,2026-09-02 09:07,2026-09-02 09:07,In Transit,2026-09-01 04:04,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10008,FreightCo,"Memphis, TN","Seattle, WA",Gold,10395.34,2026-08-29 03:04,2026-08-30 18:19,2026-08-30 18:19,In Transit,2026-09-01 22:39,at_risk_no_gps,No GPS ping received in over 12 hours
SHP-10009,FreightCo,"Chicago, IL","Denver, CO",Standard,20933.48,2026-08-28 16:58,2026-09-01 12:33,2026-09-02 01:21,Delayed,2026-09-02 12:08,weather_delay,Carrier reports weather-related delay on route
SHP-10010,TransGlobal,"Dallas, TX","Columbus, OH",Standard,13646.44,2026-08-29 14:11,2026-08-31 05:37,2026-08-31 09:10,In Transit,2026-09-02 13:06,minor_delay,
SHP-10011,CargoNet,"Newark, NJ","Miami, FL",Gold,6666.99,2026-08-29 21:42,2026-09-01 04:33,2026-09-01 04:33,Delivered,2026-09-02 13:28,on_time,
