shipment_id,timestamp,status
SHP-10000,2026-08-29 15:17,Picked Up
SHP-10000,2026-08-31 11:32,In Transit
SHP-10000,2026-09-02 05:26,Delayed
SHP-10001,2026-08-31 03:32,Picked Up
SHP-10001,2026-09-01 07:51,In Transit
SHP-10001,2026-09-02 10:14,Out for Delivery
SHP-10002,2026-08-31 22:23,Picked Up
SHP-10002,2026-09-02 03:02,In Transit
SHP-10003,2026-08-28 19:28,Picked Up
SHP-10003,2026-08-30 15:45,In Transit
SHP-10003,2026-09-01 08:01,Out for Delivery
SHP-10004,2026-08-30 04:44,Picked Up
SHP-10004,2026-08-31 11:09,In Transit
SHP-10005,2026-08-31 09:20,Picked Up
SHP-10005,2026-09-01 22:30,In Transit
SHP-10006,2026-08-29 12:58,Picked Up
SHP-10006,2026-08-31 05:56,In Transit
SHP-10006,2026-09-01 20:55,Delivered
SHP-10007,2026-08-31 16:51,Picked Up
SHP-10007,2026-09-01 12:59,In Transit
SHP-10008,2026-08-29 03:04,Picked Up
SHP-10008,2026-08-29 22:41,In Transit
SHP-10009,2026-08-28 16:58,Picked Up
SHP-10009,2026-08-30 21:09,In Transit
SHP-10009,2026-09-01 23:43,Delayed
SHP-10010,2026-08-29 14:11,Picked Up
SHP-10010,2026-08-30 11:40,In Transit
SHP-10011,2026-08-29 21:42,Picked Up
SHP-10011,2026-08-31 01:07,In Transit
SHP-10011,2026-09-01 02:04,Delivered
SHP-10012,2026-08-28 15:13,Picked Up
SHP-10012,2026-08-30 04:50,In Transit
SHP-10012,2026-08-31 16:26,Out for Delivery
SHP-10013,2026-09-01 13:39,Picked Up
SHP-10013,2026-09-03 06:47,In Transit
SHP-10014,2026-08-31 04:02,Picked Up
SHP-10014,2026-09-01 23:04,In Transit
SHP-10014,2026-09-03 16:28,Delayed
SHP-10015,2026-08-29 07:36,Picked Up
SHP-10015,2026-08-30 15:24,In Transit
SHP-10016,2026-09-01 03:35,Picked Up
SHP-10016,2026-09-02 21:41,In Transit
SHP-10017,2026-08-28 23:35,Picked Up
SHP-10017,2026-08-30 08:48,In Transit
SHP-10018,2026-08-31 17:29,Picked Up
SHP-10018,2026-09-02 05:52,In Transit
SHP-10018,2026-09-03 16:57,Delayed
SHP-10019,2026-08-30 14:32,Picked Up
SHP-10019,2026-08-31 15:51,In Transit
SHP-10020,2026-08-30 03:11,Picked Up
SHP-10020,2026-08-31 20:05,In Transit
SHP-10021,2026-08-29 19:22,Picked Up
SHP-10021,2026-08-31 10:33,In Transit
SHP-10021,2026-09-01 21:11,Delivered
SHP-10022,2026-08-28 23:48,Picked Up
SHP-10022,2026-08-30 08:27,In Transit
SHP-10022,2026-08-31 14:15,Out for Delivery
SHP-10023,2026-08-31 05:35,Picked Up
SHP-10023,2026-09-02 01:58,In Transit
SHP-10023,2026-09-03 20:45,Out for Delivery
SHP-10024,2026-08-30 17:21,Picked Up
SHP-10024,2026-08-31 19:02,In Transit
SHP-10024,2026-09-01 18:44,Delivered
SHP-10025,2026-08-30 07:40,Picked Up
SHP-10025,2026-08-31 03:30,In Transit
SHP-10026,2026-08-31 12:14,Picked Up
SHP-10026,2026-09-02 21:36,In Transit
SHP-10027,2026-08-30 15:05,Picked Up
SHP-10027,2026-09-01 07:50,In Transit
SHP-10028,2026-08-31 07:42,Picked Up
SHP-10028,2026-09-02 10:39,In Transit
SHP-10028,2026-09-04 10:23,Exception
SHP-10029,2026-08-31 10:42,Picked Up
SHP-10029,2026-09-01 19:03,In Transit
SHP-10029,2026-09-02 23:59,Out for Delivery
SHP-10030,2026-08-31 09:27,Picked Up
SHP-10030,2026-09-01 21:41,In Transit
SHP-10031,2026-08-29 20:00,Picked Up
SHP-10031,2026-09-01 05:20,In Transit
SHP-10032,2026-08-30 14:35,Picked Up
SHP-10032,2026-08-31 11:00,In Transit
SHP-10032,2026-09-01 04:38,Out for Delivery
SHP-10033,2026-08-28 16:58,Picked Up
SHP-10033,2026-08-30 01:43,In Transit
SHP-10034,2026-08-30 12:13,Picked Up
SHP-10034,2026-09-01 01:28,In Transit
SHP-10035,2026-08-28 20:27,Picked Up
SHP-10035,2026-08-29 23:12,In Transit
SHP-10036,2026-08-30 06:19,Picked Up
SHP-10036,2026-09-01 02:30,In Transit
SHP-10036,2026-09-02 20:10,Delayed
SHP-10037,2026-08-31 06:07,Picked Up
SHP-10037,2026-09-01 12:30,In Transit
SHP-10037,2026-09-02 14:04,Delayed
SHP-10038,2026-08-29 20:17,Picked Up
SHP-10038,2026-08-30 22:54,In Transit
SHP-10039,2026-08-30 02:30,Picked Up
SHP-10039,2026-08-31 09:57,In Transit
SHP-10039,2026-09-01 13:01,Delayed
SHP-10040,2026-08-31 03:32,Picked Up
SHP-10040,2026-09-01 06:24,In Transit
SHP-10041,2026-08-29 16:47,Picked Up
SHP-10041,2026-08-31 20:35,In Transit
SHP-10042,2026-08-28 17:07,Picked Up
SHP-10042,2026-08-30 02:15,In Transit
SHP-10042,2026-08-31 07:23,Delayed
SHP-10043,2026-09-01 03:35,Picked Up
SHP-10043,2026-09-02 04:36,In Transit
SHP-10043,2026-09-03 02:27,Delivered
SHP-10044,2026-08-28 19:11,Picked Up
SHP-10044,2026-08-30 10:54,In Transit
SHP-10045,2026-08-28 18:53,Picked Up
SHP-10045,2026-08-30 13:36,In Transit
SHP-10045,2026-09-01 03:43,Delivered
SHP-10046,2026-08-29 09:20,Picked Up
SHP-10046,2026-08-30 12:08,In Transit
SHP-10046,2026-08-31 11:29,Delayed
SHP-10047,2026-08-28 14:08,Picked Up
SHP-10047,2026-08-30 11:07,In Transit
SHP-10048,2026-08-29 02:54,Picked Up
SHP-10048,2026-08-30 18:36,In Transit
SHP-10048,2026-09-01 08:46,Delayed
SHP-10049,2026-08-30 22:33,Picked Up
SHP-10049,2026-09-02 17:22,In Transit
SHP-10049,2026-09-05 07:49,Exception
SHP-10050,2026-08-28 20:48,Picked Up
SHP-10050,2026-08-30 15:41,In Transit
SHP-10050,2026-09-01 08:56,Delivered
SHP-10051,2026-09-01 05:50,Picked Up
SHP-10051,2026-09-02 01:25,In Transit
SHP-10051,2026-09-02 19:07,Delivered
SHP-10052,2026-08-29 12:20,Picked Up
SHP-10052,2026-08-31 05:15,In Transit
SHP-10052,2026-09-01 18:52,Out for Delivery
SHP-10053,2026-08-30 23:07,Picked Up
SHP-10053,2026-09-01 22:06,In Transit
SHP-10053,2026-09-03 19:37,Out for Delivery
SHP-10054,2026-08-30 00:02,Picked Up
SHP-10054,2026-08-30 22:27,In Transit
SHP-10055,2026-08-31 08:55,Picked Up
SHP-10055,2026-09-01 11:09,In Transit
SHP-10055,2026-09-02 08:45,Out for Delivery
SHP-10056,2026-08-31 23:31,Picked Up
SHP-10056,2026-09-01 19:22,In Transit
SHP-10056,2026-09-02 14:00,Out for Delivery
SHP-10057,2026-08-31 10:43,Picked Up
SHP-10057,2026-09-02 02:25,In Transit
SHP-10058,2026-08-29 20:12,Picked Up
SHP-10058,2026-08-31 05:59,In Transit
SHP-10059,2026-09-01 01:25,Picked Up
SHP-10059,2026-09-02 06:43,In Transit
SHP-10059,2026-09-03 09:08,Delivered
SHP-10060,2026-08-30 17:40,Picked Up
SHP-10060,2026-08-31 20:07,In Transit
SHP-10061,2026-08-29 07:35,Picked Up
SHP-10061,2026-08-31 18:10,In Transit
SHP-10061,2026-09-03 00:55,Exception
SHP-10062,2026-08-31 17:17,Picked Up
SHP-10062,2026-09-02 06:15,In Transit
SHP-10062,2026-09-03 16:30,Exception
SHP-10063,2026-08-29 21:51,Picked Up
SHP-10063,2026-08-31 07:33,In Transit
SHP-10063,2026-09-01 13:09,Delivered
SHP-10064,2026-08-30 00:17,Picked Up
SHP-10064,2026-08-31 19:11,In Transit
SHP-10065,2026-08-31 03:43,Picked Up
SHP-10065,2026-09-02 01:01,In Transit
SHP-10065,2026-09-03 18:54,Delayed
SHP-10066,2026-08-29 22:33,Picked Up
SHP-10066,2026-08-31 01:44,In Transit
SHP-10067,2026-08-30 19:56,Picked Up
SHP-10067,2026-08-31 17:43,In Transit
SHP-10067,2026-09-01 11:33,Out for Delivery
SHP-10068,2026-08-29 11:36,Picked Up
SHP-10068,2026-08-31 02:43,In Transit
SHP-10068,2026-09-01 14:39,Delivered
SHP-10069,2026-08-31 21:17,Picked Up
SHP-10069,2026-09-02 02:07,In Transit
SHP-10070,2026-09-01 06:52,Picked Up
SHP-10070,2026-09-02 16:35,In Transit
SHP-10071,2026-08-30 09:07,Picked Up
SHP-10071,2026-08-31 06:52,In Transit
SHP-10071,2026-09-01 02:33,Delivered
SHP-10072,2026-08-29 00:39,Picked Up
SHP-10072,2026-08-30 11:01,In Transit
SHP-10073,2026-09-01 03:48,Picked Up
SHP-10073,2026-09-02 05:03,In Transit
SHP-10074,2026-08-30 13:28,Picked Up
SHP-10074,2026-09-01 12:28,In Transit
SHP-10075,2026-08-30 13:35,Picked Up
SHP-10075,2026-09-01 06:31,In Transit
SHP-10075,2026-09-02 19:14,Delivered
SHP-10076,2026-08-31 06:30,Picked Up
SHP-10076,2026-09-01 18:53,In Transit
SHP-10076,2026-09-03 02:47,Delivered
SHP-10077,2026-08-28 16:40,Picked Up
SHP-10077,2026-08-30 04:01,In Transit
SHP-10077,2026-08-31 12:44,Out for Delivery
SHP-10078,2026-08-30 12:12,Picked Up
SHP-10078,2026-09-01 12:44,In Transit
SHP-10078,2026-09-03 08:23,Exception
SHP-10079,2026-08-31 07:33,Picked Up
SHP-10079,2026-09-02 00:01,In Transit
SHP-10079,2026-09-03 12:11,Exception
SHP-10080,2026-08-29 14:52,Picked Up
SHP-10080,2026-08-30 16:02,In Transit
SHP-10081,2026-08-29 12:12,Picked Up
SHP-10081,2026-08-31 01:46,In Transit
SHP-10082,2026-08-30 18:22,Picked Up
SHP-10082,2026-09-01 08:18,In Transit
SHP-10083,2026-09-01 04:50,Picked Up
SHP-10083,2026-09-03 04:47,In Transit
SHP-10084,2026-08-31 02:42,Picked Up
SHP-10084,2026-09-01 18:20,In Transit
SHP-10084,2026-09-03 08:39,Exception
SHP-10085,2026-08-31 18:35,Picked Up
SHP-10085,2026-09-02 04:41,In Transit
SHP-10085,2026-09-03 12:11,Out for Delivery
SHP-10086,2026-08-31 04:55,Picked Up
SHP-10086,2026-09-01 09:28,In Transit
SHP-10086,2026-09-02 09:09,Exception
SHP-10087,2026-08-28 14:41,Picked Up
SHP-10087,2026-08-29 20:28,In Transit
