shipment_id,route,weather_condition,severity_score,is_severe,checked_at
SHP-10000,"Chicago, IL -> Denver, CO",Heavy Rain,6.6,True,2026-09-02 12:52
SHP-10001,"Dallas, TX -> Charlotte, NC",Clear,0.0,False,2026-09-02 13:08
SHP-10002,"Los Angeles, CA -> Charlotte, NC",Clear,0.0,False,2026-09-01 08:57
SHP-10003,"Atlanta, GA -> Seattle, WA",Clear,0.0,False,2026-09-02 12:39
SHP-10004,"Dallas, TX -> Denver, CO",Clear,0.0,False,2026-09-02 12:07
SHP-10005,"Dallas, TX -> Miami, FL",Rain,0.8,False,2026-09-01 07:13
SHP-10006,"Chicago, IL -> Denver, CO",Clear,0.0,False,2026-09-02 13:40
SHP-10007,"Atlanta, GA -> Columbus, OH",Clear,0.0,False,2026-09-01 04:04
SHP-10008,"Memphis, TN -> Seattle, WA",Clear,0.0,False,2026-09-01 22:39
SHP-10009,"Chicago, IL -> Denver, CO",Heavy Rain,8.2,True,2026-09-02 12:08
SHP-10010,"Dallas, TX -> Columbus, OH",Clear,0.0,False,2026-09-02 13:06
SHP-10011,"Newark, NJ -> Miami, FL",Clear,0.0,False,2026-09-02 13:28
SHP-10012,"Los Angeles, CA -> Miami, FL",Clear,0.0,False,2026-09-02 12:35
SHP-10013,"Chicago, IL -> Denver, CO",Clear,0.0,False,2026-09-01 07:41
SHP-10014,"Atlanta, GA -> Phoenix, AZ",Ice Storm,8.9,True,2026-09-02 09:17
SHP-10015,"Los Angeles, CA -> Columbus, OH",Clear,0.0,False,2026-09-02 13:35
SHP-10016,"Dallas, TX -> Miami, FL",Rain,2.6,False,2026-09-02 10:26
SHP-10017,"Newark, NJ -> Charlotte, NC",Clear,0.0,False,2026-09-01 08:39
SHP-10018,"Memphis, TN -> Charlotte, NC",Snow,7.1,True,2026-09-02 12:39
SHP-10019,"Memphis, TN -> Miami, FL",Rain,0.8,False,2026-09-01 07:28
SHP-10020,"Newark, NJ -> Charlotte, NC",Clear,0.0,False,2026-09-02 11:15
SHP-10021,"Newark, NJ -> Columbus, OH",Clear,0.0,False,2026-09-02 13:14
SHP-10022,"Newark, NJ -> Denver, CO",Clear,0.0,False,2026-09-02 13:25
SHP-10023,"Atlanta, GA -> Seattle, WA",Clear,0.0,False,2026-09-02 13:32
SHP-10024,"Los Angeles, CA -> Denver, CO",Clear,0.0,False,2026-09-02 12:53
SHP-10025,"Memphis, TN -> Miami, FL",Clear,0.0,False,2026-09-02 11:52
SHP-10026,"Los Angeles, CA -> Seattle, WA",Clear,0.0,False,2026-09-02 11:46
SHP-10027,"Newark, NJ -> Phoenix, AZ",Rain,0.7,False,2026-09-01 13:12
SHP-10028,"Atlanta, GA -> Charlotte, NC",High Wind,8.2,True,2026-09-01 18:10
SHP-10029,"Memphis, TN -> Seattle, WA",Clear,0.0,False,2026-09-02 12:34
SHP-10030,"Dallas, TX -> Miami, FL",Clear,0.0,False,2026-09-02 11:05
SHP-10031,"Memphis, TN -> Charlotte, NC",Clear,0.0,False,2026-09-02 08:19
SHP-10032,"Memphis, TN -> Seattle, WA",Clear,0.0,False,2026-09-02 13:03
SHP-10033,"Dallas, TX -> Miami, FL",Clear,0.0,False,2026-09-02 13:05
SHP-10034,"Memphis, TN -> Miami, FL",Clear,0.0,False,2026-09-02 12:49
SHP-10035,"Los Angeles, CA -> Columbus, OH",Clear,0.0,False,2026-09-01 13:23
SHP-10036,"Chicago, IL -> Charlotte, NC",Ice Storm,7.9,True,2026-09-02 11:40
SHP-10037,"Los Angeles, CA -> Columbus, OH",Ice Storm,7.0,True,2026-09-02 12:56
SHP-10038,"Newark, NJ -> Columbus, OH",Clear,0.0,False,2026-09-02 12:50
SHP-10039,"Dallas, TX -> Phoenix, AZ",Ice Storm,8.6,True,2026-09-02 11:59
SHP-10040,"Los Angeles, CA -> Seattle, WA",Clear,0.0,False,2026-09-01 05:44
SHP-10041,"Memphis, TN -> Phoenix, AZ",Clear,0.0,False,2026-09-02 09:46
SHP-10042,"Dallas, TX -> Charlotte, NC",Snow,8.1,True,2026-09-02 12:41
SHP-10043,"Newark, NJ -> Seattle, WA",Clear,0.0,False,2026-09-02 13:26
SHP-10044,"Los Angeles, CA -> Charlotte, NC",Clear,0.0,False,2026-09-02 12:30
SHP-10045,"Chicago, IL -> Seattle, WA",Clear,0.0,False,2026-09-02 13:03
SHP-10046,"Atlanta, GA -> Phoenix, AZ",Snow,8.6,True,2026-09-02 09:50
